libtar 1.2.20-7
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.0-1
libtirpc 1.3.6-2
libtommath 1.3.0-1
libtool 2.5.4+r23+g5b582aed-1
libtorrent-rasterbar 1:2.0.11-4
libtpms 0.10.1-1
libtraceevent 1:1.8.4-1
libtracefs 1.8.2-1
libuhd 4.8.0.0-7
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
libupnp 1.14.24-1
liburcu 0.15.3-1
liburing 2.11-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-1
libuv 1.51.0-1
libva 2.22.0-1
libva-intel-driver 2.4.1-5
libva-utils 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:11.5.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:11.5.0-1
libvisio 0.1.8-3
libvlc 3.0.21-27
libvolk 2:3.2.0-1
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.0-1
libvterm 0.3.3-2
libwacom 2.16.1-1
libwbclient 2:4.22.3-1
libwebp 1.6.0-1
libwebsockets 4.3.5-1
libwireplumber 0.5.10-1
libwmf 0.2.13-4
libwnck3 43.2-1
libwpd 0.10.3-5
libwpg 0.3.4-2
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.5-1
libxext 1.3.6-1
libxfce4ui 4.20.1-2
libxfce4util 4.20.1-1
libxfce4windowing 4.20.3-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.10.0-1
libxkbcommon-x11 1.10.0-1
libxkbfile 1.1.3-1
libxml2 2.14.5-1
libxml2-legacy 2.13.8-1
libxmlb 0.3.22-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxvmc 1.0.14-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux 6.15.8.arch1-1
linux-api-headers 6.15-1
linux-firmware 20250708-1
linux-firmware-amdgpu 20250708-1
linux-firmware-atheros 20250708-1
linux-firmware-broadcom 20250708-1
linux-firmware-cirrus 20250708-1
linux-firmware-intel 20250708-1
linux-firmware-mediatek 20250708-1
linux-firmware-nvidia 20250708-1
linux-firmware-other 20250708-1
linux-firmware-radeon 20250708-1
linux-firmware-realtek 20250708-1
linux-firmware-whence 20250708-1
linux-zen 6.15.8.zen1-1
lirc 1:0.10.2-5
lksctp-tools 1.0.21-1
lld 20.1.8-1
lldb 20.1.8-1
llhttp 9.2.1-2
llvm 20.1.8-1
llvm-libs 20.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lolcat 100.0.1-5
lorcon 2:2020.06.06-6
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-1
ltrace 0.7.3-5
lua 5.4.8-2
lua51-lpeg 1.1.0-3
lua53 5.3.6-4
luajit 2.1.1753364724-1
luit 20240910-1
lutris 0.5.19-6
lv2 1.18.10-1
lxsession 1:0.5.6-1
ly 1.1.1-1
lynis 3.1.4-1
lz4 1:1.10.0-2
lzip 1.25-2
lzo 2.10-5
m4 1.4.20-1
macchanger 1.7.0-6
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
mariadb 11.8.2-1
mariadb-clients 11.8.2-1
mariadb-libs 11.8.2-1
masscan 1.3.2-2
mat2 0.13.5-2
mbedtls 3.6.4-1
md4c 0.5.2-1
mdadm 4.4-1
mdk4 4.2-1
med 5.0.0-1
media-player-info 26-1
medusa 2.2-13
mercurial 7.0.3-1
mesa 1:25.1.6-1
mesa-utils 9.0.0-7
meson 1.8.2-2
metasploit 6.4.73-2
mfoc 0.10.7+38+gba072f1-2
mgba-qt 0.10.5-1
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
minizip-ng 4.0.10-1
mitmproxy 12.1.1-1
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mlt 7.32.0-2
mobile-broadband-provider-info 20250613-1
mongo-c-driver 1.30.5-1
mono 6.12.0.206-1
mousepad 0.6.5-1
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.0-1
mplayer 38542-5
mpv 1:0.40.0-4
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtpaint 3.50.11-1
mtr 0.95-6
mugshot 0.4.3-5
mujs 1.3.7-1
multimon-ng 1.3.1-1
musikcube-bin 3.0.4-1
musikcube-bin-debug 3.0.4-1
mypaint-brushes1 1.3.1-2
nasm 2.16.03-2
nbtscan 1.7.2-2
ncdu 2.8.2-3
ncrack 0.7-3
ncurses 6.5-4
ndctl 79-1
neofetch 7.1.0-2
neon 0.35.0-1
neovim 0.11.3-1
neovim-remote 2.5.1-1
net-snmp 5.9.4-7
net-tools 2.10-3
netpbm 10.86.47-1
netsniff-ng 0.6.8-6
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.52.1-1
nftables 1:1.1.3-1
ngrep 1.47-4
ngspice 44.2-1
nikto 2.5.0-1
ninja 1.12.1-2
nitrogen 1.6.1-6
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-1
nmap 7.97-1
nng 1.11-1
node-gyp 11.2.0-1
nodejs 24.4.1-2
nodejs-nopt 7.2.1-1
npm 11.5.1-1
npth 1.8-1
nspr 4.37-1
nss 3.114-1
ntfs-3g 2022.10.3-2
